City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Vaini,TO,71.76,overcast clouds,-21.2,-175.2,Keleti Beach Resort
2,Tabou,CI,78.03,light rain,4.423,-7.3528,hotêl doufoulougou
5,Arraial Do Cabo,BR,66.16,mist,-22.9661,-42.0278,Pousada Porto Praia
6,Avarua,CK,75.25,overcast clouds,-21.2078,-159.775,Paradise Inn
7,Saint-Philippe,RE,72.95,few clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
8,Ribeira Grande,PT,72.0,scattered clouds,38.5167,-28.7,Quinta da Meia Eira
9,San Quintin,MX,73.02,clear sky,30.4833,-115.95,Don Eddie's Sport Fishing Center
12,Rikitea,PF,74.64,light rain,-23.1203,-134.9692,People ThankYou
14,Kupang,ID,75.58,overcast clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
16,Riyadh,SA,84.34,clear sky,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
20,Lazaro Cardenas,MX,85.48,overcast clouds,17.9583,-102.2,quinta antigua
22,Atuona,PF,78.28,scattered clouds,-9.8,-139.0333,Villa Enata
23,Labuhan,ID,77.76,broken clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
25,Albany,US,67.03,overcast clouds,42.6001,-73.9662,
27,Ponta Delgada,PT,70.52,broken clouds,37.7333,-25.6667,Vila Nova Hotel
28,Puerto Ayora,EC,78.76,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
29,Auki,SB,77.34,overcast clouds,-8.7676,160.7034,Auki Motel
30,Ponta Do Sol,PT,73.0,few clouds,32.6667,-17.1,Hotel do Campo
31,Port Elizabeth,ZA,61.11,scattered clouds,-33.918,25.5701,39 On Nile Guest House
33,Coquimbo,CL,65.93,clear sky,-29.9533,-71.3436,Punto de encuentro
35,Kapaa,US,80.92,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
36,San Andres,CO,87.82,scattered clouds,12.5847,-81.7006,Hotel Arena Blanca
37,Mahebourg,MU,72.25,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
38,Mar Del Plata,AR,60.82,few clouds,-38.0023,-57.5575,Gran Hotel Mar del Plata
39,Cabinda,AO,76.24,overcast clouds,-5.55,12.2,Hotel Maiombe
43,Cidreira,BR,65.62,overcast clouds,-30.1811,-50.2056,Hotel Castelo
44,Grand Gaube,MU,72.37,light rain,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
45,Shanghai,CN,73.92,light rain,31.2222,121.4581,Swissotel Grand Shanghai
47,Tura,IN,73.96,clear sky,25.5198,90.2201,Hotel RIKMAN Continental
49,Dingle,PH,76.57,moderate rain,10.9995,122.6711,SEGAYA PROPERTY
51,Hilo,US,77.29,heavy intensity rain,19.7297,-155.09,Hilo Hawaiian Hotel
52,Carnarvon,AU,64.47,clear sky,-24.8667,113.6333,Hospitality Carnarvon
55,Kafanchan,NG,70.59,light rain,9.5833,8.3,Sir Joe guest Inn
58,Jaque,PA,79.56,moderate rain,7.5175,-78.1703,Imbu Bua Lodge
60,Bredasdorp,ZA,60.12,broken clouds,-34.5322,20.0403,Bredasdorp Country Manor
61,Jamestown,US,73.02,scattered clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
62,Labuan,MY,80.96,few clouds,5.2767,115.2417,Tiara Labuan Hotel
64,San Cristobal,VE,82.58,broken clouds,7.7669,-72.225,Posada Villaven C.A.
65,Butaritari,KI,81.23,broken clouds,3.0707,172.7902,Isles Sunset Lodge
68,Port-Gentil,GA,76.96,scattered clouds,-0.7193,8.7815,Fengshui Residence
69,Port Alfred,ZA,60.87,few clouds,-33.5906,26.891,The Halyards Hotel
70,Acarau,BR,81.45,clear sky,-2.8856,-40.12,castelo pizzaria
71,Bafq,IR,60.85,clear sky,31.6128,55.4107,Alamdar Hotel
72,Sibolga,ID,75.76,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
73,Lata,PT,69.08,few clouds,40.1629,-8.3327,Casa Maquia
