City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Country,Date
0,Vaini,-21.2,-175.2,71.76,100,90,2.3,overcast clouds,TO,2021-10-10 19:47:11
1,Angostura,25.3667,-108.1833,96.01,42,6,9.13,clear sky,MX,2021-10-10 19:47:11
2,Tabou,4.423,-7.3528,78.03,89,100,9.19,light rain,CI,2021-10-10 19:47:12
3,Punta Arenas,-53.15,-70.9167,53.71,35,20,34.52,few clouds,CL,2021-10-10 19:46:22
4,Sitka,57.0531,-135.33,46.29,87,75,5.75,light rain,US,2021-10-10 19:47:12
5,Arraial Do Cabo,-22.9661,-42.0278,66.16,94,90,12.66,mist,BR,2021-10-10 19:47:12
6,Avarua,-21.2078,-159.775,75.25,78,100,4.61,overcast clouds,CK,2021-10-10 19:42:32
7,Saint-Philippe,-21.3585,55.7679,72.95,88,11,7.61,few clouds,RE,2021-10-10 19:47:13
8,Ribeira Grande,38.5167,-28.7,72.0,94,40,14.97,scattered clouds,PT,2021-10-10 19:47:13
9,San Quintin,30.4833,-115.95,73.02,54,0,9.89,clear sky,MX,2021-10-10 19:47:13
10,Pevek,69.7008,170.3133,22.14,92,100,7.65,overcast clouds,RU,2021-10-10 19:47:13
11,Nikolskoye,59.7035,30.7861,51.4,68,18,8.93,few clouds,RU,2021-10-10 19:47:14
12,Rikitea,-23.1203,-134.9692,74.64,81,95,18.81,light rain,PF,2021-10-10 19:47:14
13,Alice Springs,-23.7,133.8833,53.15,100,90,10.36,overcast clouds,AU,2021-10-10 19:47:14
14,Kupang,-10.1667,123.5833,75.58,84,91,4.85,overcast clouds,ID,2021-10-10 19:47:15
15,Saskylakh,71.9167,114.0833,14.65,96,100,6.85,overcast clouds,RU,2021-10-10 19:47:15
16,Riyadh,24.6877,46.7219,84.34,16,0,6.6,clear sky,SA,2021-10-10 19:44:54
17,Batagay,67.6333,134.6333,30.16,80,100,5.84,overcast clouds,RU,2021-10-10 19:47:15
18,Vestmannaeyjar,63.4427,-20.2734,43.63,71,65,15.19,broken clouds,IS,2021-10-10 19:47:15
19,Tuatapere,-46.1333,167.6833,48.81,96,100,4.25,moderate rain,NZ,2021-10-10 19:47:16
20,Lazaro Cardenas,17.9583,-102.2,85.48,67,91,7.23,overcast clouds,MX,2021-10-10 19:47:16
21,Klaksvik,62.2266,-6.589,43.72,72,100,21.45,overcast clouds,FO,2021-10-10 19:47:16
22,Atuona,-9.8,-139.0333,78.28,77,48,19.26,scattered clouds,PF,2021-10-10 19:47:16
23,Labuhan,-6.8844,112.2051,77.76,78,80,8.46,broken clouds,ID,2021-10-10 19:42:53
24,Cabo San Lucas,22.8909,-109.9124,95.61,67,82,1.99,broken clouds,MX,2021-10-10 19:47:10
25,Albany,42.6001,-73.9662,67.03,76,97,1.99,overcast clouds,US,2021-10-10 19:47:17
26,Chulman,56.8479,124.9104,25.09,90,53,2.68,broken clouds,RU,2021-10-10 19:47:17
27,Ponta Delgada,37.7333,-25.6667,70.52,94,75,11.5,broken clouds,PT,2021-10-10 19:47:18
